PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,GrpSize,FareCat,AgeCat
1,0,3,male,1,0,S,Mr,couple,0-10,16-32
2,1,1,female,1,0,C,Mrs,couple,70-100,32-48
3,1,3,female,0,0,S,Miss,solo,0-10,16-32
4,1,1,female,1,0,S,Mrs,couple,40-70,32-48
138,0,1,male,1,0,S,Mr,couple,40-70,32-48
5,0,3,male,0,0,S,Mr,solo,0-10,32-48
6,0,3,male,0,0,Q,Mr,solo,0-10,16-32
7,0,1,male,0,0,S,Mr,solo,40-70,48-64
8,0,3,male,3,1,S,Master,large group,Oct-25,0-16
25,0,3,female,3,1,S,Miss,large group,Oct-25,0-16
375,0,3,female,3,1,S,Miss,large group,Oct-25,0-16
568,0,3,female,0,4,S,Mrs,large group,Oct-25,16-32
9,1,3,female,0,2,S,Mrs,group,Oct-25,16-32
173,1,3,female,1,1,S,Miss,group,Oct-25,0-16
870,1,3,male,1,1,S,Master,group,Oct-25,0-16
10,1,2,female,1,0,C,Mrs,couple,25-40,0-16
123,0,2,male,1,0,C,Mr,couple,25-40,32-48
11,1,3,female,1,1,S,Miss,group,Oct-25,0-16
395,1,3,female,0,2,S,Mrs,group,Oct-25,16-32
12,1,1,female,0,0,S,Miss,solo,25-40,48-64
13,0,3,male,0,0,S,Mr,solo,0-10,16-32
14,0,3,male,1,5,S,Mr,large group,25-40,32-48
120,0,3,female,4,2,S,Miss,large group,25-40,0-16
542,0,3,female,4,2,S,Miss,large group,25-40,0-16
543,0,3,female,4,2,S,Miss,large group,25-40,0-16
611,0,3,female,1,5,S,Mrs,large group,25-40,32-48
814,0,3,female,4,2,S,Miss,large group,25-40,0-16
851,0,3,male,4,2,S,Master,large group,25-40,0-16
15,0,3,female,0,0,S,Miss,solo,0-10,0-16
16,1,2,female,0,0,S,Mrs,solo,Oct-25,48-64
17,0,3,male,4,1,Q,Master,large group,25-40,0-16
172,0,3,male,4,1,Q,Master,large group,25-40,0-16
279,0,3,male,4,1,Q,Master,large group,25-40,0-16
788,0,3,male,4,1,Q,Master,large group,25-40,0-16
886,0,3,female,0,5,Q,Mrs,large group,25-40,32-48
18,1,2,male,0,0,S,Mr,solo,Oct-25,16-32
19,0,3,female,1,0,S,Mrs,couple,Oct-25,16-32
20,1,3,female,0,0,C,Mrs,solo,0-10,16-32
21,0,2,male,0,0,S,Mr,couple,25-40,32-48
792,0,2,male,0,0,S,Mr,couple,25-40,0-16
22,1,2,male,0,0,S,Mr,solo,Oct-25,32-48
23,1,3,female,0,0,Q,Miss,solo,0-10,0-16
24,1,1,male,0,0,S,Mr,solo,25-40,16-32
26,1,3,female,1,5,S,Mrs,large group,25-40,32-48
183,0,3,male,4,2,S,Master,large group,25-40,0-16
234,1,3,female,4,2,S,Miss,large group,25-40,0-16
262,1,3,male,4,2,S,Master,large group,25-40,0-16
27,0,3,male,0,0,C,Mr,solo,0-10,16-32
28,0,1,male,3,2,S,Mr,large group,100+,16-32
89,1,1,female,3,2,S,Miss,large group,100+,16-32
342,1,1,female,3,2,S,Miss,large group,100+,16-32
439,0,1,male,1,4,S,Mr,large group,100+,48-64
29,1,3,female,0,0,Q,Miss,solo,0-10,16-32
30,0,3,male,0,0,S,Mr,solo,0-10,16-32
31,0,1,male,0,0,C,Rare Title,solo,25-40,32-48
32,1,1,female,1,0,C,Mrs,couple,100+,32-48
196,1,1,female,0,0,C,Miss,couple,100+,48-64
33,1,3,female,0,0,Q,Miss,solo,0-10,16-32
34,0,2,male,0,0,S,Mr,solo,Oct-25,64+
35,0,1,male,1,0,C,Mr,couple,70-100,16-32
376,1,1,female,1,0,C,Mrs,couple,70-100,32-48
36,0,1,male,1,0,S,Mr,couple,40-70,32-48
384,1,1,female,1,0,S,Mrs,couple,40-70,32-48
37,1,3,male,0,0,C,Mr,solo,0-10,16-32
38,0,3,male,0,0,S,Mr,solo,0-10,16-32
39,0,3,female,2,0,S,Miss,group,Oct-25,16-32
334,0,3,male,2,0,S,Mr,group,Oct-25,0-16
40,1,3,female,1,0,C,Miss,couple,Oct-25,0-16
126,1,3,male,1,0,C,Master,couple,Oct-25,0-16
41,0,3,female,1,0,S,Mrs,couple,0-10,32-48
42,0,2,female,1,0,S,Mrs,couple,Oct-25,16-32
118,0,2,male,1,0,S,Mr,couple,Oct-25,16-32
43,0,3,male,0,0,C,Mr,solo,0-10,16-32
44,1,2,female,1,2,C,Miss,group,40-70,0-16
609,1,2,female,1,2,C,Mrs,group,40-70,16-32
686,0,2,male,1,2,C,Mr,group,40-70,16-32
45,1,3,female,0,0,Q,Miss,solo,0-10,16-32
46,0,3,male,0,0,S,Mr,solo,0-10,16-32
47,0,3,male,1,0,Q,Mr,couple,Oct-25,16-32
48,1,3,female,0,0,Q,Miss,solo,0-10,16-32
49,0,3,male,2,0,C,Mr,group,Oct-25,16-32
50,0,3,female,1,0,S,Mrs,couple,Oct-25,16-32
354,0,3,male,1,0,S,Mr,couple,Oct-25,16-32
51,0,3,male,4,1,S,Master,large group,25-40,0-16
165,0,3,male,4,1,S,Master,large group,25-40,0-16
267,0,3,male,4,1,S,Mr,large group,25-40,0-16
639,0,3,female,0,5,S,Mrs,large group,25-40,32-48
687,0,3,male,4,1,S,Mr,large group,25-40,0-16
825,0,3,male,4,1,S,Master,large group,25-40,0-16
52,0,3,male,0,0,S,Mr,solo,0-10,16-32
53,1,1,female,1,0,C,Mrs,group,70-100,48-64
646,1,1,male,1,0,C,Mr,group,70-100,32-48
682,1,1,male,0,0,C,Mr,group,70-100,16-32
54,1,2,female,1,0,S,Mrs,couple,25-40,16-32
55,0,1,male,0,1,C,Mr,couple,40-70,64+
56,1,1,male,0,0,S,Mr,solo,25-40,32-48
57,1,2,female,0,0,S,Miss,solo,Oct-25,16-32
58,0,3,male,0,0,C,Mr,solo,0-10,16-32
59,1,2,female,1,2,S,Miss,group,25-40,0-16
451,0,2,male,1,2,S,Mr,group,25-40,32-48
473,1,2,female,1,2,S,Mrs,group,25-40,32-48
60,0,3,male,5,2,S,Master,large group,40-70,0-16
72,0,3,female,5,2,S,Miss,large group,40-70,0-16
387,0,3,male,5,2,S,Master,large group,40-70,0-16
481,0,3,male,5,2,S,Master,large group,40-70,0-16
679,0,3,female,1,6,S,Mrs,large group,40-70,32-48
684,0,3,male,5,2,S,Mr,large group,40-70,0-16
61,0,3,male,0,0,C,Mr,solo,0-10,16-32
62,1,1,female,0,0,S,Miss,couple,70-100,32-48
830,1,1,female,0,0,S,Mrs,couple,70-100,48-64
63,0,1,male,1,0,S,Mr,couple,70-100,32-48
231,1,1,female,1,0,S,Mrs,couple,70-100,32-48
64,0,3,male,3,2,S,Master,large group,25-40,0-16
168,0,3,female,1,4,S,Mrs,large group,25-40,32-48
361,0,3,male,1,4,S,Mr,large group,25-40,32-48
635,0,3,female,3,2,S,Miss,large group,25-40,0-16
643,0,3,female,3,2,S,Miss,large group,25-40,0-16
820,0,3,male,3,2,S,Master,large group,25-40,0-16
65,0,1,male,0,0,C,Mr,solo,25-40,32-48
66,1,3,male,1,1,C,Master,group,Oct-25,0-16
710,1,3,male,1,1,C,Master,group,Oct-25,0-16
67,1,2,female,0,0,S,Mrs,solo,Oct-25,16-32
68,0,3,male,0,0,S,Mr,solo,0-10,16-32
69,1,3,female,4,2,S,Miss,large group,0-10,16-32
70,0,3,male,2,0,S,Mr,group,0-10,16-32
71,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
73,0,2,male,0,0,S,Mr,large group,70-100,16-32
121,0,2,male,2,0,S,Mr,large group,70-100,16-32
386,0,2,male,0,0,S,Mr,large group,70-100,16-32
656,0,2,male,2,0,S,Mr,large group,70-100,16-32
666,0,2,male,2,0,S,Mr,large group,70-100,16-32
74,0,3,male,1,0,C,Mr,couple,Oct-25,16-32
75,1,3,male,0,0,S,Mr,large group,40-70,16-32
170,0,3,male,0,0,S,Mr,large group,40-70,16-32
510,1,3,male,0,0,S,Mr,large group,40-70,16-32
644,1,3,male,0,0,S,Mr,large group,40-70,16-32
693,1,3,male,0,0,S,Mr,large group,40-70,16-32
827,0,3,male,0,0,S,Mr,large group,40-70,16-32
839,1,3,male,0,0,S,Mr,large group,40-70,16-32
76,0,3,male,0,0,S,Mr,solo,0-10,16-32
77,0,3,male,0,0,S,Mr,solo,0-10,16-32
78,0,3,male,0,0,S,Mr,solo,0-10,16-32
79,1,2,male,0,2,S,Master,group,25-40,0-16
324,1,2,female,1,1,S,Mrs,group,25-40,16-32
80,1,3,female,0,0,S,Miss,couple,Oct-25,16-32
778,1,3,female,0,0,S,Miss,couple,Oct-25,0-16
81,0,3,male,0,0,S,Mr,solo,0-10,16-32
82,1,3,male,0,0,S,Mr,solo,0-10,16-32
83,1,3,female,0,0,Q,Miss,solo,0-10,16-32
84,0,1,male,0,0,S,Mr,solo,40-70,16-32
85,1,2,female,0,0,S,Miss,solo,Oct-25,16-32
86,1,3,female,3,0,S,Mrs,group,Oct-25,32-48
207,0,3,male,1,0,S,Mr,couple,Oct-25,16-32
87,0,3,male,1,3,S,Mr,large group,25-40,0-16
148,0,3,female,2,2,S,Miss,large group,25-40,0-16
437,0,3,female,2,2,S,Miss,large group,25-40,16-32
737,0,3,female,1,3,S,Mrs,large group,25-40,32-48
88,0,3,male,0,0,S,Mr,solo,0-10,16-32
90,0,3,male,0,0,S,Mr,solo,0-10,16-32
91,0,3,male,0,0,S,Mr,solo,0-10,16-32
92,0,3,male,0,0,S,Mr,solo,0-10,16-32
93,0,1,male,1,0,S,Mr,couple,40-70,32-48
94,0,3,male,1,2,S,Mr,group,Oct-25,16-32
789,1,3,male,1,2,S,Master,group,Oct-25,0-16
95,0,3,male,0,0,S,Mr,solo,0-10,48-64
96,0,3,male,0,0,S,Mr,solo,0-10,16-32
97,0,1,male,0,0,C,Mr,solo,25-40,64+
98,1,1,male,0,1,C,Mr,couple,40-70,16-32
99,1,2,female,0,1,S,Mrs,couple,Oct-25,32-48
652,1,2,female,0,1,S,Miss,couple,Oct-25,16-32
100,0,2,male,1,0,S,Mr,couple,25-40,32-48
317,1,2,female,1,0,S,Mrs,couple,25-40,16-32
101,0,3,female,0,0,S,Miss,solo,0-10,16-32
102,0,3,male,0,0,S,Mr,solo,0-10,16-32
103,0,1,male,0,1,S,Mr,couple,70-100,16-32
125,0,1,male,0,1,S,Mr,couple,70-100,48-64
104,0,3,male,0,0,S,Mr,solo,0-10,32-48
105,0,3,male,2,0,S,Mr,group,0-10,32-48
106,0,3,male,0,0,S,Mr,solo,0-10,16-32
107,1,3,female,0,0,S,Miss,solo,0-10,16-32
108,1,3,male,0,0,S,Mr,solo,0-10,16-32
109,0,3,male,0,0,S,Mr,solo,0-10,32-48
110,1,3,female,1,0,Q,Miss,group,Oct-25,16-32
518,0,3,male,0,0,Q,Mr,group,Oct-25,16-32
769,0,3,male,1,0,Q,Mr,group,Oct-25,16-32
111,0,1,male,0,0,S,Mr,couple,40-70,32-48
476,0,1,male,0,0,S,Mr,couple,40-70,32-48
112,0,3,female,1,0,C,Miss,couple,Oct-25,0-16
241,0,3,female,1,0,C,Miss,couple,Oct-25,16-32
113,0,3,male,0,0,S,Mr,solo,0-10,16-32
114,0,3,female,1,0,S,Miss,couple,0-10,16-32
115,0,3,female,0,0,C,Miss,couple,Oct-25,16-32
496,0,3,male,0,0,C,Mr,couple,Oct-25,16-32
116,0,3,male,0,0,S,Mr,solo,0-10,16-32
117,0,3,male,0,0,Q,Mr,solo,0-10,64+
119,0,1,male,0,1,C,Mr,couple,100+,16-32
300,1,1,female,0,1,C,Mrs,couple,100+,48-64
122,0,3,male,0,0,S,Mr,solo,0-10,16-32
124,1,2,female,0,0,S,Miss,solo,Oct-25,32-48
127,0,3,male,0,0,Q,Mr,solo,0-10,16-32
128,1,3,male,0,0,S,Mr,solo,0-10,16-32
129,1,3,female,1,1,C,Miss,group,Oct-25,16-32
534,1,3,female,0,2,C,Mrs,group,Oct-25,16-32
130,0,3,male,0,0,S,Mr,solo,0-10,32-48
131,0,3,male,0,0,C,Mr,solo,0-10,32-48
132,0,3,male,0,0,S,Mr,solo,0-10,16-32
133,0,3,female,1,0,S,Mrs,couple,Oct-25,32-48
134,1,2,female,1,0,S,Mrs,couple,25-40,16-32
135,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
136,0,2,male,0,0,C,Mr,solo,Oct-25,16-32
137,1,1,female,0,2,S,Miss,group,25-40,16-32
139,0,3,male,0,0,S,Mr,couple,0-10,0-16
877,0,3,male,0,0,S,Mr,couple,0-10,16-32
140,0,1,male,0,0,C,Mr,couple,70-100,16-32
790,0,1,male,0,0,C,Mr,couple,70-100,32-48
141,0,3,female,0,2,C,Mrs,group,Oct-25,16-32
853,0,3,female,1,1,C,Miss,group,Oct-25,0-16
142,1,3,female,0,0,S,Miss,solo,0-10,16-32
143,1,3,female,1,0,S,Mrs,couple,Oct-25,16-32
404,0,3,male,1,0,S,Mr,couple,Oct-25,16-32
144,0,3,male,0,0,Q,Mr,solo,0-10,16-32
145,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
146,0,2,male,1,1,S,Mr,group,25-40,16-32
550,1,2,male,1,1,S,Master,group,25-40,0-16
147,1,3,male,0,0,S,Mr,solo,0-10,16-32
149,0,2,male,0,2,S,Mr,group,25-40,32-48
194,1,2,male,1,1,S,Master,group,25-40,0-16
341,1,2,male,1,1,S,Master,group,25-40,0-16
150,0,2,male,0,0,S,Rare Title,solo,Oct-25,32-48
151,0,2,male,0,0,S,Rare Title,solo,Oct-25,48-64
152,1,1,female,1,0,S,Mrs,couple,40-70,16-32
337,0,1,male,1,0,S,Mr,couple,40-70,16-32
153,0,3,male,0,0,S,Mr,solo,0-10,48-64
154,0,3,male,0,2,S,Mr,group,Oct-25,32-48
155,0,3,male,0,0,S,Mr,solo,0-10,16-32
156,0,1,male,0,1,C,Mr,couple,40-70,48-64
157,1,3,female,0,0,Q,Miss,solo,0-10,0-16
158,0,3,male,0,0,S,Mr,solo,0-10,16-32
159,0,3,male,0,0,S,Mr,solo,0-10,16-32
160,0,3,male,8,2,S,Master,large group,40-70,0-16
181,0,3,female,8,2,S,Miss,large group,40-70,16-32
202,0,3,male,8,2,S,Mr,large group,40-70,16-32
325,0,3,male,8,2,S,Mr,large group,40-70,16-32
793,0,3,female,8,2,S,Miss,large group,40-70,16-32
847,0,3,male,8,2,S,Mr,large group,40-70,16-32
864,0,3,female,8,2,S,Miss,large group,40-70,16-32
161,0,3,male,0,1,S,Mr,couple,Oct-25,32-48
162,1,2,female,0,0,S,Mrs,solo,Oct-25,32-48
163,0,3,male,0,0,S,Mr,solo,0-10,16-32
164,0,3,male,0,0,S,Mr,solo,0-10,16-32
166,1,3,male,0,2,S,Master,group,Oct-25,0-16
329,1,3,female,1,1,S,Mrs,group,Oct-25,16-32
549,0,3,male,1,1,S,Mr,group,Oct-25,32-48
167,1,1,female,0,1,S,Mrs,couple,40-70,32-48
357,1,1,female,0,1,S,Miss,couple,40-70,16-32
169,0,1,male,0,0,S,Mr,solo,25-40,32-48
171,0,1,male,0,0,S,Mr,solo,25-40,48-64
174,0,3,male,0,0,S,Mr,solo,0-10,16-32
175,0,1,male,0,0,C,Mr,solo,25-40,48-64
176,0,3,male,1,1,S,Mr,group,0-10,16-32
177,0,3,male,3,1,S,Master,large group,25-40,0-16
230,0,3,female,3,1,S,Miss,large group,25-40,16-32
410,0,3,female,3,1,S,Miss,large group,25-40,16-32
486,0,3,female,3,1,S,Miss,large group,25-40,16-32
178,0,1,female,0,0,C,Miss,solo,25-40,48-64
179,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
180,0,3,male,0,0,S,Mr,group,0-10,32-48
272,1,3,male,0,0,S,Mr,group,0-10,16-32
303,0,3,male,0,0,S,Mr,group,0-10,16-32
598,0,3,male,0,0,S,Mr,group,0-10,48-64
182,0,2,male,0,0,C,Mr,solo,Oct-25,16-32
184,1,2,male,2,1,S,Master,group,25-40,0-16
619,1,2,female,2,1,S,Miss,group,25-40,0-16
185,1,3,female,0,2,S,Miss,group,Oct-25,0-16
186,0,1,male,0,0,S,Mr,solo,40-70,32-48
187,1,3,female,1,0,Q,Mrs,couple,Oct-25,16-32
365,0,3,male,1,0,Q,Mr,couple,Oct-25,16-32
188,1,1,male,0,0,S,Mr,solo,25-40,32-48
189,0,3,male,1,1,Q,Mr,group,Oct-25,32-48
658,0,3,female,1,1,Q,Mrs,group,Oct-25,16-32
190,0,3,male,0,0,S,Mr,solo,0-10,32-48
191,1,2,female,0,0,S,Mrs,solo,Oct-25,16-32
192,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
193,1,3,female,1,0,S,Miss,couple,0-10,16-32
195,1,1,female,0,0,C,Mrs,solo,25-40,32-48
197,0,3,male,0,0,Q,Mr,solo,0-10,16-32
198,0,3,male,0,1,S,Mr,couple,0-10,32-48
199,1,3,female,0,0,Q,Miss,solo,0-10,16-32
200,0,2,female,0,0,S,Miss,solo,Oct-25,16-32
201,0,3,male,0,0,S,Mr,solo,0-10,16-32
203,0,3,male,0,0,S,Mr,solo,0-10,32-48
204,0,3,male,0,0,C,Mr,solo,0-10,32-48
205,1,3,male,0,0,S,Mr,solo,0-10,16-32
206,0,3,female,0,1,S,Miss,couple,Oct-25,0-16
252,0,3,female,1,1,S,Mrs,group,Oct-25,16-32
208,1,3,male,0,0,C,Mr,couple,Oct-25,16-32
732,0,3,male,0,0,C,Mr,couple,Oct-25,0-16
209,1,3,female,0,0,Q,Miss,solo,0-10,0-16
210,1,1,male,0,0,C,Mr,solo,25-40,32-48
211,0,3,male,0,0,S,Mr,solo,0-10,16-32
212,1,2,female,0,0,S,Miss,solo,Oct-25,32-48
213,0,3,male,0,0,S,Mr,solo,0-10,16-32
214,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
215,0,3,male,1,0,Q,Mr,couple,0-10,16-32
216,1,1,female,1,0,C,Miss,group,100+,16-32
394,1,1,female,1,0,C,Miss,group,100+,16-32
660,0,1,male,0,2,C,Mr,group,100+,48-64
217,1,3,female,0,0,S,Miss,solo,0-10,16-32
218,0,2,male,1,0,S,Mr,couple,25-40,32-48
601,1,2,female,2,1,S,Mrs,group,25-40,16-32
219,1,1,female,0,0,C,Miss,solo,70-100,16-32
220,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
221,1,3,male,0,0,S,Mr,solo,0-10,0-16
222,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
223,0,3,male,0,0,S,Mr,solo,0-10,48-64
224,0,3,male,0,0,S,Mr,solo,0-10,16-32
225,1,1,male,1,0,S,Mr,couple,70-100,32-48
487,1,1,female,1,0,S,Mrs,couple,70-100,32-48
226,0,3,male,0,0,S,Mr,solo,0-10,16-32
227,1,2,male,0,0,S,Mr,solo,Oct-25,16-32
228,0,3,male,0,0,S,Mr,solo,0-10,16-32
229,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
232,0,3,male,0,0,S,Mr,solo,0-10,16-32
233,0,2,male,0,0,S,Mr,solo,Oct-25,48-64
235,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
236,0,3,female,0,0,S,Miss,solo,0-10,16-32
237,0,2,male,1,0,S,Mr,couple,25-40,32-48
238,1,2,female,0,2,S,Miss,group,25-40,0-16
638,0,2,male,1,1,S,Mr,group,25-40,16-32
802,1,2,female,1,1,S,Mrs,group,25-40,16-32
239,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
240,0,2,male,0,0,S,Mr,solo,Oct-25,32-48
242,1,3,female,1,0,Q,Miss,couple,Oct-25,16-32
613,1,3,female,1,0,Q,Miss,couple,Oct-25,16-32
243,0,2,male,0,0,S,Mr,solo,Oct-25,16-32
244,0,3,male,0,0,S,Mr,solo,0-10,16-32
245,0,3,male,0,0,C,Mr,solo,0-10,16-32
246,0,1,male,2,0,Q,Rare Title,group,70-100,32-48
413,1,1,female,1,0,Q,Miss,couple,70-100,32-48
247,0,3,female,0,0,S,Miss,solo,0-10,16-32
248,1,2,female,0,2,S,Mrs,group,Oct-25,16-32
756,1,2,male,1,1,S,Master,group,Oct-25,0-16
249,1,1,male,1,1,S,Mr,group,40-70,32-48
872,1,1,female,1,1,S,Mrs,group,40-70,32-48
250,0,2,male,1,0,S,Rare Title,couple,25-40,48-64
855,0,2,female,1,0,S,Mrs,couple,25-40,32-48
251,0,3,male,0,0,S,Mr,solo,0-10,16-32
253,0,1,male,0,0,S,Mr,solo,25-40,48-64
254,0,3,male,1,0,S,Mr,couple,Oct-25,16-32
618,0,3,female,1,0,S,Mrs,couple,Oct-25,16-32
255,0,3,female,0,2,S,Mrs,group,Oct-25,32-48
425,0,3,male,1,1,S,Mr,group,Oct-25,16-32
256,1,3,female,0,2,C,Mrs,group,Oct-25,16-32
257,1,1,female,0,0,C,Mrs,solo,70-100,32-48
258,1,1,female,0,0,S,Miss,group,70-100,16-32
505,1,1,female,0,0,S,Miss,group,70-100,0-16
760,1,1,female,0,0,S,Rare Title,group,70-100,32-48
259,1,1,female,0,0,C,Miss,group,100+,32-48
680,1,1,male,0,1,C,Mr,group,100+,32-48
738,1,1,male,0,0,C,Mr,group,100+,32-48
260,1,2,female,0,1,S,Mrs,couple,25-40,48-64
881,1,2,female,0,1,S,Mrs,couple,25-40,16-32
261,0,3,male,0,0,Q,Mr,solo,0-10,16-32
263,0,1,male,1,1,S,Mr,group,70-100,48-64
559,1,1,female,1,1,S,Mrs,group,70-100,32-48
586,1,1,female,0,2,S,Miss,group,70-100,16-32
264,0,1,male,0,0,S,Mr,solo,40-70,32-48
265,0,3,female,0,0,Q,Miss,solo,0-10,16-32
266,0,2,male,0,0,S,Mr,solo,Oct-25,32-48
268,1,3,male,1,0,S,Mr,couple,0-10,16-32
269,1,1,female,0,1,S,Mrs,group,100+,48-64
333,0,1,male,0,1,S,Mr,group,100+,32-48
610,1,1,female,0,0,S,Miss,group,100+,32-48
270,1,1,female,0,0,S,Miss,group,100+,32-48
326,1,1,female,0,0,C,Miss,group,100+,32-48
374,0,1,male,0,0,C,Mr,group,100+,16-32
271,0,1,male,0,0,S,Mr,couple,25-40,32-48
843,1,1,female,0,0,C,Miss,couple,25-40,16-32
273,1,2,female,0,1,S,Mrs,couple,Oct-25,32-48
447,1,2,female,0,1,S,Miss,couple,Oct-25,0-16
274,0,1,male,0,1,C,Mr,couple,25-40,32-48
275,1,3,female,0,0,Q,Miss,solo,0-10,16-32
276,1,1,female,1,0,S,Miss,group,70-100,48-64
628,1,1,female,0,0,S,Miss,group,70-100,16-32
766,1,1,female,1,0,S,Mrs,group,70-100,48-64
277,0,3,female,0,0,S,Miss,solo,0-10,32-48
278,0,2,male,0,0,S,Mr,group,Oct-25,16-32
414,0,2,male,0,0,S,Mr,group,Oct-25,16-32
467,0,2,male,0,0,S,Mr,group,Oct-25,16-32
280,1,3,female,1,1,S,Mrs,group,Oct-25,32-48
747,0,3,male,1,1,S,Mr,group,Oct-25,0-16
281,0,3,male,0,0,Q,Mr,solo,0-10,64+
282,0,3,male,0,0,S,Mr,solo,0-10,16-32
283,0,3,male,0,0,S,Mr,solo,0-10,0-16
284,1,3,male,0,0,S,Mr,solo,0-10,16-32
285,0,1,male,0,0,S,Mr,solo,25-40,32-48
286,0,3,male,0,0,C,Mr,solo,0-10,32-48
287,1,3,male,0,0,S,Mr,solo,0-10,16-32
288,0,3,male,0,0,S,Mr,solo,0-10,16-32
289,1,2,male,0,0,S,Mr,solo,Oct-25,32-48
290,1,3,female,0,0,Q,Miss,solo,0-10,16-32
291,1,1,female,0,0,S,Miss,couple,70-100,16-32
742,0,1,male,1,0,S,Mr,couple,70-100,32-48
292,1,1,female,1,0,C,Mrs,couple,70-100,16-32
485,1,1,male,1,0,C,Mr,couple,70-100,16-32
293,0,2,male,0,0,C,Mr,solo,Oct-25,32-48
294,0,3,female,0,0,S,Miss,solo,0-10,16-32
295,0,3,male,0,0,S,Mr,solo,0-10,16-32
296,0,1,male,0,0,C,Mr,solo,25-40,32-48
297,0,3,male,0,0,C,Mr,solo,0-10,16-32
298,0,1,female,1,2,S,Miss,group,100+,0-16
306,1,1,male,1,2,S,Master,group,100+,0-16
499,0,1,female,1,2,S,Mrs,group,100+,16-32
709,1,1,female,0,0,S,Miss,group,100+,16-32
299,1,1,male,0,0,S,Mr,solo,25-40,32-48
301,1,3,female,0,0,Q,Miss,solo,0-10,16-32
302,1,3,male,2,0,Q,Mr,group,Oct-25,16-32
331,1,3,female,2,0,Q,Miss,group,Oct-25,16-32
304,1,2,female,0,0,Q,Miss,solo,Oct-25,16-32
305,0,3,male,0,0,S,Mr,solo,0-10,16-32
307,1,1,female,0,0,C,Miss,group,100+,16-32
551,1,1,male,0,2,C,Mr,group,100+,16-32
582,1,1,female,1,1,C,Mrs,group,100+,32-48
699,0,1,male,1,1,C,Mr,group,100+,48-64
308,1,1,female,1,0,C,Mrs,couple,100+,16-32
506,0,1,male,1,0,C,Mr,couple,100+,16-32
309,0,2,male,1,0,C,Mr,couple,Oct-25,16-32
875,1,2,female,1,0,C,Mrs,couple,Oct-25,16-32
310,1,1,female,0,0,C,Miss,couple,40-70,16-32
600,1,1,male,1,0,C,Rare Title,couple,40-70,48-64
311,1,1,female,0,0,C,Miss,couple,70-100,16-32
880,1,1,female,0,1,C,Mrs,couple,70-100,48-64
312,1,1,female,2,2,C,Miss,large group,100+,16-32
743,1,1,female,2,2,C,Miss,large group,100+,16-32
313,0,2,female,1,1,S,Mrs,group,25-40,16-32
314,0,3,male,0,0,S,Mr,solo,0-10,16-32
